Date,Region,COUNTRY,Product_Name,Company_Names,Units_Sold,Unit_Price,Total_Sales,Cost_of_Goods_Sold,Profit,Discount,Customer_Segement
1/1/2023,South,RUSSIA,Printer,Wayne Enterprises,581,68.35,39711.35,23920.82,15790.53,15,Wholesale
1/1/2023,Central,RUSSIA,Keyboard,Hooli,802,77.92,62491.84,29344.47,33147.37,20,Wholesale
1/1/2023,North,RUSSIA,Printer,Vehement Capital Partners,383,6.31,2416.73,1547.85,868.88,10,Wholesale
1/1/2023,Central,RUSSIA,Monitor,Initech,945,81.04,76582.8,59156.27,17426.53,15,Retail
1/1/2023,South,RUSSIA,Keyboard,Vehement Capital Partners,225,69.13,15554.25,13194.02,2360.23,20,Wholesale
1/1/2023,West,RUSSIA,Monitor,Massive Dynamic,715,7.88,5634.2,3429.34,2204.86,5,Retail
1/1/2023,East,RUSSIA,Monitor,Corp,900,42.74,38466,19595.12,18870.88,20,Retail
1/1/2023,North,RUSSIA,Mouse,Initech,923,20.09,18543.07,8188.21,10354.86,5,Retail
1/1/2023,Central,RUSSIA,Mouse,Initech,551,20.57,11334.07,5064.39,6269.68,10,Wholesale
1/1/2023,North,RUSSIA,Printer,Hooli,408,37.85,15442.8,13073.65,2369.15,5,Wholesale
1/1/2023,North,RUSSIA,Mouse,Wayne Enterprises,903,23.88,21563.64,11769.33,9794.31,20,Wholesale
1/1/2023,East,RUSSIA,Keyboard,Corp,824,66.62,54894.88,37879.06,17015.82,15,Enterprise
1/1/2023,Central,RUSSIA,Mouse,Globex Inc,194,24.57,4766.58,3777.06,989.52,0,Wholesale
1/1/2023,South,RUSSIA,Keyboard,Globex Inc,973,79.93,77771.89,33672.88,44099.01,20,Enterprise
1/1/2023,East,RUSSIA,Mouse,Massive Dynamic,716,58.69,42022.04,20235.42,21786.62,20,Wholesale
1/1/2023,Central,RUSSIA,Mouse,Stark Industries,85,25.09,2132.65,1387.6,745.05,0,Retail
1/1/2023,East,RUSSIA,Printer,Initech,347,14.96,5191.12,2594.62,2596.5,10,Enterprise
1/1/2023,West,RUSSIA,Laptop,Stark Industries,654,81.95,53595.3,28125.16,25470.14,20,Wholesale
1/1/2023,South,RUSSIA,Mouse,Initech,325,94.94,30855.5,16298.41,14557.09,10,Enterprise
1/1/2023,Central,RUSSIA,Printer,Initech,736,51.34,37786.24,29244.51,8541.73,20,Wholesale
1/1/2023,North,RUSSIA,Keyboard,Globex Inc,81,83.71,6780.51,5034.82,1745.69,10,Retail
1/1/2023,East,RUSSIA,Printer,Wayne Enterprises,533,69.75,37176.75,26199.3,10977.45,0,Retail
1/1/2023,Central,RUSSIA,Keyboard,Stark Industries,449,46.18,20734.82,13276.38,7458.44,10,Wholesale
1/1/2023,East,RUSSIA,Printer,Hooli,402,76.08,30584.16,14889.27,15694.89,0,Retail
1/1/2023,North,RUSSIA,Laptop,Hooli,430,86.78,37315.4,18665.16,18650.24,15,Wholesale
1/1/2023,Central,RUSSIA,Mouse,Initech,513,49.62,25455.06,14500.68,10954.38,20,Retail
1/1/2023,Central,RUSSIA,Monitor,Stark Industries,290,99.3,28797,15032.14,13764.86,10,Wholesale
1/1/2023,North,RUSSIA,Monitor,Vehement Capital Partners,744,77.82,57898.08,39797.32,18100.76,0,Enterprise
1/1/2023,East,RUSSIA,Printer,Hooli,473,45.39,21469.47,17350.35,4119.12,15,Retail
1/2/2023,South,RUSSIA,Keyboard,Soylent LLC,655,74.13,48555.15,40889.6,7665.55,20,Enterprise
1/2/2023,Central,RUSSIA,Mouse,Initech,589,33.05,19466.45,10553.63,8912.82,15,Wholesale
1/2/2023,East,RUSSIA,Monitor,Globex Inc,469,52.11,24439.59,10460.33,13979.26,15,Wholesale
1/2/2023,Central,RUSSIA,Laptop,Stark Industries,85,62.73,5332.05,3996.88,1335.17,15,Enterprise
1/2/2023,West,RUSSIA,Monitor,Vehement Capital Partners,14,28.43,398.02,214.03,183.99,15,Wholesale
1/2/2023,West,RUSSIA,Mouse,Wayne Enterprises,587,94.67,55571.29,26221.2,29350.09,10,Retail
1/2/2023,East,RUSSIA,Mouse,Soylent LLC,139,94.7,13163.3,8857.73,4305.57,10,Wholesale
1/2/2023,West,RUSSIA,Monitor,Corp,547,77.44,42359.68,20661.35,21698.33,15,Retail
1/2/2023,East,RUSSIA,Monitor,Stark Industries,965,28.66,27656.9,20238.29,7418.61,10,Enterprise
1/2/2023,North,RUSSIA,Keyboard,Corp,897,8.05,7220.85,4633.76,2587.09,20,Retail
1/2/2023,Central,RUSSIA,Printer,Corp,342,69.23,23676.66,13963.81,9712.85,0,Enterprise
1/2/2023,Central,RUSSIA,Monitor,Corp,163,70.59,11506.17,9279.22,2226.95,10,Wholesale
1/2/2023,West,RUSSIA,Monitor,Umbrella Corp,846,18.78,15887.88,11679.58,4208.3,0,Enterprise
1/2/2023,South,RUSSIA,Monitor,Massive Dynamic,845,6.5,5492.5,3281.02,2211.48,0,Wholesale
1/2/2023,West,RUSSIA,Mouse,Vehement Capital Partners,254,5.98,1518.92,986.53,532.39,5,Enterprise
1/2/2023,North,RUSSIA,Laptop,Wayne Enterprises,303,91.8,27815.4,14670.3,13145.1,0,Wholesale
1/2/2023,East,RUSSIA,Laptop,Massive Dynamic,303,19.28,5841.84,3979.4,1862.44,5,Enterprise
1/2/2023,Central,RUSSIA,Mouse,Soylent LLC,393,68.35,26861.55,15212.31,11649.24,15,Wholesale
1/2/2023,North,RUSSIA,Monitor,Globex Inc,37,95.42,3530.54,2991.72,538.82,20,Wholesale
1/2/2023,East,RUSSIA,Monitor,Initech,146,66.42,9697.32,7827.81,1869.51,20,Retail
1/2/2023,West,RUSSIA,Printer,Soylent LLC,656,12.13,7957.28,4627.97,3329.31,15,Enterprise
1/2/2023,North,RUSSIA,Keyboard,Vehement Capital Partners,509,82.88,42185.92,19686.76,22499.16,15,Enterprise
